customer_id,age,gender,education,marital_status,income,fashion_category,style_segment,purchase_frequency,avg_order_value,total_spend,last_purchase_date,website_visits,campaign_id,campaign_type,channel,campaign_cost,campaign_response,conversion_status,recency,frequency,monetary,rfm_score,customer_segment,engagement_score,product_category,season,budget,impressions,composite_score
CUST_0001,21,Female,High School,Single,29607,Accessories,Essentials Buyer,5,200.0,1000.0,2024-12-22,17,FCMP021,Lookbook,Influencer Marketing,8500,0,0,9,5,1000.0,3.0,Low,25.67,Western Wear,Summer,35206,408215,0.2796826413040631
CUST_0002,32,Male,Graduate,Single,41534,Footwear,Seasonal Shopper,3,200.0,600.0,2024-11-29,11,FCMP048,Lookbook,Facebook Ads,8500,1,0,32,3,600.0,2.33,Low,45.58,Footwear,Summer,46976,114179,0.0205704556299331
CUST_0003,26,Male,Post Graduate,Married,61587,Western Wear,Seasonal Shopper,1,573.36,573.36,2024-11-13,4,FCMP017,Flash Sale,Google Ads,5200,1,1,48,1,573.36,2.0,Low,35.95,Western Wear,Wedding Season,7811,86690,0.3603955804460079
CUST_0004,18,Female,Post Graduate,Married,52786,Accessories,Trendsetter,1,419.83,419.83,2024-12-17,1,FCMP009,Lookbook,Email,8500,1,0,14,1,419.83,2.33,Low,33.33,Footwear,Summer,32848,212506,0.5342013999162889
CUST_0005,23,Female,High School,Single,22718,Accessories,Essentials Buyer,1,575.97,575.97,2024-10-26,6,FCMP019,Lookbook,Instagram,8500,0,0,66,1,575.97,1.67,Low,8.45,Ethnic Wear,Summer,11546,26295,0.1984464395324873
CUST_0006,30,Female,High School,Single,33870,Ethnic Wear,Seasonal Shopper,6,699.71,4198.26,2024-12-03,19,FCMP039,Lookbook,Instagram,8500,0,0,28,6,4198.26,3.33,Low,26.37,Western Wear,Summer,52025,198047,0.3942847492055126
CUST_0007,24,Female,High School,Married,23746,Winter Wear,Trendsetter,1,405.26,405.26,2024-12-15,1,FCMP046,Flash Sale,Instagram,5200,1,0,16,1,405.26,2.33,Low,33.1,Accessories,Festive,36065,332252,0.3901301913549269
CUST_0008,46,Female,Post Graduate,Married,74637,Accessories,Essentials Buyer,9,325.48,2929.32,2024-09-22,29,FCMP005,New Arrivals,Facebook Ads,6800,1,1,100,9,2929.32,2.67,Low,68.96,Ethnic Wear,Festive,49542,395037,0.4103699687504942
CUST_0009,29,Female,Graduate,Single,48733,Winter Wear,Luxury Seeker,1,200.0,200.0,2024-12-20,4,FCMP008,New Arrivals,Email,6800,1,1,11,1,200.0,2.33,Low,37.83,Accessories,Regular,30184,311999,0.4402188990449158
CUST_0010,34,Male,Graduate,Single,33186,Accessories,Luxury Seeker,2,200.0,400.0,2024-12-16,5,FCMP023,Lookbook,Google Ads,8500,1,0,15,2,400.0,2.67,Low,38.54,Winter Wear,Winter,16411,294327,0.329960533603584
CUST_0011,31,Female,Graduate,Married,43044,Footwear,Seasonal Shopper,17,771.79,13120.43,2024-10-28,46,FCMP025,New Arrivals,Instagram,6800,1,0,64,17,13120.43,3.67,Mid,91.79,Ethnic Wear,Wedding Season,6734,163946,0.4475215460051547
CUST_0012,31,Female,Post Graduate,Married,67538,Western Wear,Seasonal Shopper,1,769.27,769.27,2024-11-11,1,FCMP005,New Arrivals,Facebook Ads,6800,0,0,50,1,769.27,2.0,Low,1.92,Ethnic Wear,Festive,49542,395037,0.4103699687504942
CUST_0013,35,Female,Post Graduate,Married,36104,Winter Wear,Trendsetter,11,420.52,4625.72,2024-11-13,35,FCMP048,Flash Sale,Facebook Ads,5200,0,0,48,11,4625.72,3.33,Low,47.28,Footwear,Summer,46976,114179,0.0205704556299331
CUST_0014,41,Male,High School,Single,28768,Winter Wear,Essentials Buyer,10,307.33,3073.3,2024-11-15,31,FCMP025,New Arrivals,Instagram,6800,0,0,46,10,3073.3,3.33,Low,41.97,Ethnic Wear,Wedding Season,6734,163946,0.4475215460051547
CUST_0015,18,Female,PhD,Divorced,99248,Ethnic Wear,Trendsetter,4,1968.01,7872.04,2024-12-20,17,FCMP039,Lookbook,Instagram,8500,1,1,11,4,7872.04,3.33,Low,55.17,Western Wear,Summer,52025,198047,0.3942847492055126
CUST_0016,44,Male,Post Graduate,Single,56405,Ethnic Wear,Seasonal Shopper,5,825.02,4125.1,2024-07-11,9,FCMP034,New Arrivals,Instagram,6800,0,0,173,5,4125.1,1.67,Low,12.17,Winter Wear,Winter,42504,320504,0.6507146195191259
CUST_0017,56,Female,Graduate,Single,45759,Western Wear,Seasonal Shopper,4,489.56,1958.24,2024-12-17,12,FCMP021,Flash Sale,Influencer Marketing,5200,1,1,14,4,1958.24,3.0,Low,48.0,Western Wear,Summer,35206,408215,0.2796826413040631
CUST_0018,36,Female,PhD,Divorced,80925,Accessories,Seasonal Shopper,8,503.57,4028.56,2024-11-25,21,FCMP035,New Arrivals,Email,6800,0,0,36,8,4028.56,3.33,Low,28.81,Footwear,Winter,6802,233090,0.4209594906234262
